,Year,Percentage,Country,Activities
1,2016,5.4,SINGAPORE,cultural events & festivals
2,2016,7.2,THAILAND,cultural events & festivals
3,2016,1.9,INDONESIA,cultural events & festivals
4,2016,0.7,BRUNEI,cultural events & festivals
5,2016,1.1,PHILIPPINES,cultural events & festivals
6,2016,6.5,VIETNAM,cultural events & festivals
7,2016,5.5,CHINA,cultural events & festivals
8,2016,8.6,JAPAN,cultural events & festivals
9,2016,11.3,SOUTH.KOREA,cultural events & festivals
10,2016,1.8,TAIWAN,cultural events & festivals
11,2016,7.3,INDIA,cultural events & festivals
12,2016,6.9,PAKISTAN,cultural events & festivals
13,2016,10.2,SAUDI.ARABIA,cultural events & festivals
14,2016,2.4,UNITED.ARAB.EMIRATES,cultural events & festivals
15,2016,28.1,OMAN,cultural events & festivals
16,2016,0,KUWAIT,cultural events & festivals
17,2016,3.1,IRAN,cultural events & festivals
18,2016,7.4,CANADA,cultural events & festivals
19,2016,7.6,USA,cultural events & festivals
20,2016,11.8,UNITED.KINGDOM,cultural events & festivals
21,2016,27.6,IRELAND,cultural events & festivals
22,2016,13.1,SWEDEN,cultural events & festivals
23,2016,5.8,DENMARK,cultural events & festivals
24,2016,13.4,FINLAND,cultural events & festivals
25,2016,3.6,NORWAY,cultural events & festivals
26,2016,11.5,ITALY,cultural events & festivals
27,2016,11.5,SPAIN,cultural events & festivals
28,2016,11.4,FRANCE,cultural events & festivals
29,2016,14.6,BELGIUM,cultural events & festivals
30,2016,17,NETHERLANDS,cultural events & festivals
31,2016,8.8,GERMANY,cultural events & festivals
32,2016,13.5,SWITZERLAND,cultural events & festivals
33,2016,5.9,RUSSIA,cultural events & festivals
34,2016,11.5,AUSTRALIA,cultural events & festivals
35,2016,17.2,NEW.ZEALAND,cultural events & festivals
36,2016,2.8,SOUTH.AFRICA,cultural events & festivals
37,2016,6.5,CENTRAL.ASIA,cultural events & festivals
45,2017,7.4,SINGAPORE,cultural events & festivals
46,2017,13.4,THAILAND,cultural events & festivals
47,2017,1.8,INDONESIA,cultural events & festivals
48,2017,1.7,BRUNEI,cultural events & festivals
49,2017,2.2,PHILIPPINES,cultural events & festivals
50,2017,10.7,VIETNAM,cultural events & festivals
51,2017,13.8,CHINA,cultural events & festivals
52,2017,18.9,JAPAN,cultural events & festivals
53,2017,14.3,SOUTH.KOREA,cultural events & festivals
54,2017,12.2,TAIWAN,cultural events & festivals
55,2017,17.6,INDIA,cultural events & festivals
56,2017,7.2,PAKISTAN,cultural events & festivals
